Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
Comune di Venezia,Italy,Venezia,C40,2016.0,Transport,Private and Commercial Transport,2005,381340.0,39.2,2020.0,"SEAP action ""move-01 - extimated CO2 reduction by 2020: 17022t""
SEAP action ""move-02 - extimated CO2 reduction by 2020:   7081t""
SEAP action ""move-03 - extimated CO2 reduction by 2020:   3559t""
SEAP action ""move-04 - extimated CO2 reduction by 2020:        62t""
SEAP action ""move-05 - extimated CO2 reduction by 2020:   3418t""
SEAP action ""move-06 - extimated CO2 reduction by 2020: 18844t""
SEAP action ""move-07 - extimated CO2 reduction by 2020:   2431t""
SEAP action ""move-08 - extimated CO2 reduction by 2020: 96412t""
SEAP action ""move-09 - extimated CO2 reduction by 2020:     600t""
SEAP action ""move-10 - extimated CO2 reduction by 2020:       37t""
SEAP action ""move-14 - extimated CO2 reduction by 2020:       68t""
total extimated CO2 reduction by 2020: 149534t""","(45.4332515, 12.3210704)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Venezia,Italy,Venezia,C40,2016.0,Total,Total inventory,2005,1418344.0,22.9,2020.0,The expected reduction for Tertiary+Residential+Private and Commercial transport is: 324.919t,"(45.4332515, 12.3210704)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater London Authority,United Kingdom,London ,C40,2016.0,Other,CO2,1990,45000000.0,80.0,2050.0,Interim targets are also in place for 2025,"(51.504858, -0.078689)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma Capitale,Italy,Roma ,C40,2016.0,Transport,Transport,2003,4174937.0,23.0,2020.0,,"(41.8723889, 12.4801802)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma Capitale,Italy,Roma ,C40,2016.0,Buildings,Residential,2003,3593877.0,15.0,2020.0,,"(41.8723889, 12.4801802)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of St Louis,USA,St Louis,,2016.0,Total,,2005,7972916.0,80.0,2050.0,,"(38.6270025, -90.1994042)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma Capitale,Italy,Roma ,C40,2016.0,Other:,Tertiary,2003,3230703.0,0.0,2020.0,Emission for tertiary are forecasted increasing of 18%,"(41.8723889, 12.4801802)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Albany,USA,Albany,,2016.0,Buildings,"Residential, Commercial, Industrial",2009,903226.0,10.0,2030.0,,"(42.6526, -73.7562)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Albany,USA,Albany,,2016.0,Transport,,2009,276097.0,20.0,2030.0,,"(42.6526, -73.7562)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Albany,USA,Albany,,2016.0,Waste,,2009,13797.0,10.0,2030.0,,"(42.6526, -73.7562)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Arlington, VA",USA,"Arlington, VA",,2016.0,Total,Community,2007,2668991.0,76.0,2050.0,"Arlington's community GHG emissions reduction target is to reach 3.0 metric tonnes CO2e per capita by 2050, from a 2007 baseline of 13.4 mt/capita.","(37.226486, -76.002594)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Aspen and Pitkin County,USA,Aspen and Pitkin County,,2016.0,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,30.0,2020.0,,"(39.195, -106.837)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Aspen and Pitkin County,USA,Aspen and Pitkin County,,2016.0,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,80.0,2050.0,,"(39.195, -106.837)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Atlanta,USA,Atlanta,,2016.0,Buildings,city-wide control,2009,5356727.0,20.0,2020.0,"Benchmarking and retrofits for buildings larger than 25,000 soft","(33.7489954, -84.3879824)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Atlanta,USA,Atlanta,,2016.0,Transport,city-wide control,2009,2300000.0,20.0,2020.0,"Sharing mobility strategies, TOD, and parking strategies","(33.7489954, -84.3879824)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Aurora, CO",USA,"Aurora, CO",,2016.0,Total,"Residential/Commercial/Industrial/Public building energy use, transportation, fuel production and shipping, water/wastewater, food, cement, agricultural, and municipal solid waste.",2007,4641240.0,10.0,2025.0,Buckley Air Force Base not included. Methodology developed by University of Colorado Denver,"(39.7294, -104.8319)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Baltimore,USA,Baltimore,,2016.0,Other,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).",2010,7579144.0,15.0,2020.0,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).","(39.2903848, -76.6121893)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Bellingham, WA",USA,"Bellingham, WA",,2016.0,Total,City limits,2000,862545.1,7.0,2012.0,,"(48.74908, -122.478147)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Benicia,USA,Benicia,,2016.0,Total,"Residential Electricity and Natural Gas Use, Commercial/Industrial Electricity and Natural Gas Use, On Road Transportation, Off Road Equipment, Waste, Water Supply, Treatment, and Delivery",2000,487035.0,10.0,2020.0,,"(38.049365, -122.1585777)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Boulder,USA,Boulder,,2016.0,Total,"Electricity, natural gas, transportation, landfill",2005,1943165.0,80.0,2050.0,Interim targets under development.,"(40.0274, -105.2519)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hamilton,Canada,Hamilton,,2016.0,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,20.0,2020.0,Targets achieved in 2011.,"(43.250021, -79.866091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hamilton,Canada,Hamilton,,2016.0,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,50.0,2030.0,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,"(43.250021, -79.866091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Burlington,USA,Burlington,,2016.0,Total,community-wide emissions,2007,401996.0,20.0,2020.0,"Reduction Goals

Subsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: 

Short-term: 
Reduction of 20% below 2007 levels by 2020 
*Equals 1.5% annual reduction until 2020 

Long-term: 
Reduction of 80% below 2007 levels by 2050 
*Equals 2% annual reduction between 2020 and 2050 

To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.","(44.4758825, -73.212072)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Calgary,Canada,Calgary,,2016.0,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731.0,20.0,2020.0,,"(51.048615, -114.070846)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Calgary,Canada,Calgary,,2016.0,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",1990,11871100.0,50.0,2036.0,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,"(51.048615, -114.070846)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Calgary,Canada,Calgary,,2016.0,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731.0,80.0,2050.0,,"(51.048615, -114.070846)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Charlotte,USA,Charlotte,,2016.0,Total,,Other,,100.0,2050.0,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.","(35.2271, -80.8431)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax Regional Municipality,Canada,Halifax,,2016.0,Total,,2002,6775289.0,20.0,2020.0,World Energy Cities Calgary Climate Accord,"(44.6478, -63.5714)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Cleveland,USA,Cleveland,,2016.0,Total,All sources included in GHG inventory,2010,12791996.0,16.0,2020.0,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Cleveland,USA,Cleveland,,2016.0,Total,All sources included in GHG inventory,2010,12791996.0,40.0,2030.0,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Cleveland,USA,Cleveland,,2016.0,Total,All sources included in GHG inventory,2010,12791996.0,80.0,2050.0,"This goal is science-based and designed to be bold, yet achievable. The Climate Action Plan does not include detail on how much each emission reduction activity contributes. This is more of a visionary goal.","(41.49932, -81.6943605)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Columbus,USA,Columbus,,2016.0,Total,"Solid Waste
Commercial Energy
Industrial Energy
Residential Energy
Transportation & Mobile Sources
Water and Wastewater",2013,10695080.0,20.0,2020.0,,"(39.9611755, -82.9987942)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Denver,USA,Denver,,2016.0,Total,"Scope 1 & 2 community emissions from residential & commercial buildings, public infrastructure, transportation, waste and water/wastewater.",1990,11800000.0,1.0,2020.0,The goal is to get to at or below 1990 level emissions by 2020,"(39.737567, -104.9847179)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Denver,USA,Denver,,2016.0,Total,Community emissions as reported in our GHG inventory,2005,13500000.0,80.0,2050.0,Denver is utilizing a 2005 baseline for our long term goal as there were more robust data available in 2005 compared to 1990.,"(39.737567, -104.9847179)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Durham,USA,Durham,,2016.0,Other,"commercial buildings, residential buildings, industrial buildings, transportation",2006,7091648.0,30.0,2030.0,This is for all of Durham County.,"(35.994, -78.8986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edmonton,Canada,Edmonton,,2016.0,Total,Total greenhouse gas emissions within City of Edmonton Boundary,2005,15862000.0,35.0,2035.0,Overall TCO2e reduction,"(53.544389, -113.4909267)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Eugene,USA,Eugene,,2016.0,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965.0,10.0,2020.0,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Eugene,USA,Eugene,,2016.0,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965.0,75.0,2050.0,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Eugene,USA,Eugene,,2016.0,Other,"In boundary fossil fuel use: Gasoline, Diesel, Natural Gas",2010,1884651.0,50.0,2030.0,"Goal is silent on which fossil fuels.  This could apply to aviation fuel as well, but the target is focused on community use.","(44.0519, -123.0867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hamilton,Canada,Hamilton,,2016.0,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,10.0,2012.0,Targets achieved in 2011.,"(43.250021, -79.866091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Santa Monica,USA,Santa Monica,,2016.0,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293.0,80.0,2050.0,,"(34.0219, -118.4814)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hamilton,Canada,Hamilton,,2016.0,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712.0,80.0,2050.0,New targets set in 2013 by Council.,"(43.250021, -79.866091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hayward,USA,Hayward,,2016.0,Total,City of Hayward,2005,1130113.0,20.0,2020.0,,"(37.6689, -122.0808)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Knoxville,USA,Knoxville,,2016.0,Total,Knoxville area,2005,4581171.0,20.0,2020.0,"Note: For question 7.3, The City of Knoxville has not estimated anticipated reductions or measure reductions based on each emissions reduction activity.  However, the cumulative effect of past emissions reductions activities reduced residential energy consumption by 2%, commercial energy consumption by 13%, and community greenhouse gas emissions by 7.75% between 2005 and 2012.","(35.9606, -83.9207)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Lake Forest, IL",USA,"Lake Forest, IL",,2016.0,Total,Entire Inventory,2007,402364.0,20.0,2015.0,"After reaching our target, our current goal is to decrease emissions 2% annually.","(42.258634, -87.840625)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Lakewood,USA,Lakewood,,2016.0,Total,City of Lakewood jurisdictional boundary,2007,2646593.0,20.0,2025.0,,"(39.7047, -105.0814)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Lakewood,USA,Lakewood,,2016.0,Total,City of Lakewood jurisdictional boundary,2007,2646593.0,50.0,2050.0,,"(39.7047, -105.0814)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax Regional Municipality,Canada,Halifax,,2016.0,Total,,2002,6775289.0,80.0,2050.0,World Energy Cities Calgary CLimate Accord,"(44.6478, -63.5714)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of London, ON",Canada,"London, ON",,2016.0,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,15.0,2020.0,,"(42.9837, -81.2497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of London, ON",Canada,"London, ON",,2016.0,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,37.0,2030.0,"NOTE: London has committed to using targets consistent with the Province of Ontario's targets. In spring 2015, Ontario
announced this new mid-term reduction goal for a 37% reduction by 2030.","(42.9837, -81.2497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of London, ON",Canada,"London, ON",,2016.0,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000.0,80.0,2050.0,,"(42.9837, -81.2497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Minneapolis,USA,Minneapolis,,2016.0,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,80.0,2050.0,,"(44.983334, -93.26667)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Northampton, MA",USA,"Northampton, MA",,2016.0,Total,entire city,2000,,30.0,2020.0,"Primarily using fossil fuels, not GHG, as our measurement tool because we have more (albeit still very limited) data","(42.304845, -72.614446)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Oakland,USA,Oakland,,2016.0,Transport,"Transportation & Land Use
Energy Use
Material Consumption & Waste",2005,1988265.0,36.0,2020.0,,"(37.8044, -122.2708)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Palo Alto,USA,Palo Alto,,2016.0,Total,City wide emissions,1990,780119.0,20.0,2020.0,2007 goals exceeded. New goals being set this year. The City will comply with all State requirements and targets.,"(37.4419, -122.143)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Palo Alto,USA,Palo Alto,,2016.0,Total,City wide emissions,1990,780119.0,80.0,2030.0,,"(37.4419, -122.143)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Park City, UT",USA,"Park City, UT",,2016.0,Total,"Scope 1
Scope 2 
Scope 3",2015,19590.0,100.0,2032.0,Park City has adopted a goal of Net Zero Carbon Emissions for all citywide activities by 2032. This includes Scope 1 & 2 emissions as well as air travel.,"(40.6461, -111.498)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Pittsburgh,USA,Pittsburgh,,2016.0,Total,Pittsburgh City limits,2003,5987870.0,20.0,2025.0,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,"(40.4406248, -79.9958864)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Pittsburgh,USA,Pittsburgh,,2016.0,Transport,Pittsburgh City limits,2013,833781.0,50.0,2030.0,,"(40.4406248, -79.9958864)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Richmond, VA",USA,"Richmond, VA",,2016.0,Total,"Total - Scope 1,2,3",2008,3377616.0,80.0,2050.0,1.8% annually,"(37.540725, -77.436048)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Sacramento,USA,Sacramento,,2016.0,Total,Jurisdictional boundary,2005,4161823.0,15.0,2020.0,,"(38.5816, -121.4944)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Sacramento,USA,Sacramento,,2016.0,Total,Jurisdictional boundary,2005,4161823.0,49.0,2035.0,,"(38.5816, -121.4944)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Sacramento,USA,Sacramento,,2016.0,Total,Jurisdictional boundary,2005,4161823.0,83.0,2050.0,,"(38.5816, -121.4944)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of San Antonio,USA,San Antonio,,2016.0,Total,,2013,16089575.0,50.0,2050.0,,"(29.4241, -98.4936)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Santa Monica,USA,Santa Monica,,2016.0,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293.0,15.0,2015.0,,"(34.0219, -118.4814)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Somerville, MA",USA,"Somerville, MA",,2016.0,Total,All activities inside the municipal boundary,2014,609565.0,100.0,2050.0,"Somerville has a carbon neutrality by 2050 goal.  The exact technical definition of carbon neutrality, for accounting purposes, has not yet been finalized.","(42.393449, -71.082647)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of St Louis,USA,St Louis,,2016.0,Total,,2005,7972916.0,25.0,2020.0,,"(38.6270025, -90.1994042)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of West Hollywood,USA,West Hollywood,,2016.0,Total,Community-wide emissions,2008,583213.0,25.0,2035.0,The target is 20-25% over 2008 levels.,"(34.09, -118.3617)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Winnipeg,Canada,City of Winnipeg,,2016.0,Total,All in inventory.,1998,5257324.0,6.0,,No firm target date or action plan.,"(49.8997541, -97.1374937)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Yonkers,USA,Yonkers,,2016.0,Buildings,"Residential, commercial, industrial buildings",2010,844276.0,20.0,2020.0,,"(40.9414, -73.8644)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Altos Hills,USA,Los Altos Hills,,2016.0,Total,Town wide,2005,89913.0,30.0,2025.0,"Not yet approved by town council. Our prior target was 30% below 2005 levels by 2015, and we achieved 15%.","(37.3797, -122.1375)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Blacksburg,USA,Blacksburg,,2016.0,Total,"Our original target boundary only included residential, commercial, industrial, municipal and transportation.  See comments for further explanation",1990,422626.0,80.0,2050.0,"We are undertaking an 80% reduction in community-wide emissions below 1990 levels by 2050.  The sectors for which emissions were measured were: residential, commercial, industrial, municipal and transportation.  There are strategies addressing each of these sectors in the resulting plan.  There are a handful of additional sectors that were included in the plan even though they were not part of our initial GHG inventory.  These include: food, waste & recycling, land use, and clean energy.","(37.2296, -80.4139)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
